City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,sitka,57.0531,-135.33,16.94,82,100,3.09,US,1689976774
267,palikir - national government center,6.9248,158.1611,28.47,84,100,2.57,FM,1689976740
268,saint joseph,39.7686,-94.8466,26.42,60,61,4.79,US,1689976415
269,lebu,-37.6167,-73.65,10.83,91,100,4.03,CL,1689976669
270,tumayr,25.7039,45.868,32.98,9,96,3.0,SA,1689976415
271,ishigaki,24.3448,124.1572,27.07,89,20,1.54,JP,1689976415
272,bamboo flat,11.7,92.7167,25.05,94,100,1.03,IN,1689976739
273,namibe,-15.1961,12.1522,18.48,81,95,2.16,AO,1689976729
274,kapuskasing,49.4169,-82.4331,21.05,43,40,3.6,CA,1689976655
275,santo antonio,-6.3106,-35.4789,22.2,77,6,5.45,BR,1689976416
276,ta`u,-14.2336,-169.5144,27.63,79,9,3.58,AS,1689976776
277,cidreira,-30.1811,-50.2056,17.83,91,16,7.47,BR,1689976640
278,aberdeen,57.1437,-2.0981,11.41,95,88,1.03,GB,1689976777
279,bam,29.106,58.357,31.76,15,100,4.67,IR,1689976417
280,quilmes,-34.7242,-58.2527,22.97,78,100,6.29,AR,1689976366
281,kuloy,61.0305,42.4925,13.48,83,100,4.22,RU,1689976417
282,shwebo,22.5667,95.7,27.09,81,99,2.31,MM,1689976417
283,bulawayo,-20.15,28.5833,10.05,91,99,6.17,ZW,1689976418
284,clarksburg,39.2807,-80.3445,26.61,64,100,2.57,US,1689976418
285,onega,63.9061,38.1404,13.3,99,86,1.14,RU,1689976418
286,baro,8.6,6.4167,24.63,92,85,1.33,NG,1689976418
287,tangalle,6.024,80.7911,27.09,87,100,5.41,LK,1689976778
288,fort mcmurray,56.7268,-111.381,26.77,50,0,2.57,CA,1689976080
289,la sarre,48.8002,-79.1996,21.77,39,9,4.76,CA,1689976419
290,plouzane,48.3833,-4.6167,14.03,85,100,2.06,FR,1689976419
291,tourlaville,49.6383,-1.5664,13.68,94,0,3.6,FR,1689976419
292,maragogi,-9.0122,-35.2225,23.57,73,0,5.17,BR,1689976420
293,tambopata,-12.7333,-69.1833,31.94,55,20,1.54,PE,1689976420
294,az zawr,29.4425,48.2747,40.16,36,12,6.99,KW,1689976420
295,redkino,56.6475,36.2967,13.2,71,76,3.26,RU,1689976420
296,nabire,-3.3667,135.4833,24.19,92,80,1.74,ID,1689976780
297,la passe,45.5549,-0.8967,17.77,75,0,4.1,FR,1689976682
298,wailua homesteads,22.0669,-159.378,28.44,83,100,6.69,US,1689976664
